from_id,to_id,detail
evt_001,scene_001,陆择醒来的酒店
evt_002,scene_002,车祸地点
evt_004,scene_003,跳江地点
evt_007,scene_003,在大桥上查看手机
evt_008,scene_004,回到出租屋
evt_009,scene_004,从出租屋出发
evt_010,scene_004,在出租屋代练
evt_011,scene_005,晨跑地点
evt_012,scene_004,在出租屋直播
evt_013,scene_004,在出租屋收私信
evt_014,scene_015,试训地点
evt_015,scene_006,咖啡店约谈
evt_016,scene_007,西餐厅吃牛排
evt_017,scene_004,回出租屋避雨
evt_018,scene_014,去买菜
evt_019,scene_004,在出租屋直播
evt_020,scene_008,爬山
evt_021,scene_009,地铁返程
evt_022,scene_010,漫展
evt_023,scene_011,送林梦回家
evt_024,scene_004,在出租屋生病
evt_025,scene_012,路边摊
evt_026,scene_013,苏晓禾工作地点
evt_027,scene_004,在出租屋接电话
